message,gold,pred,conf,risk,ev_quality,decision,reason,difficulty,top_sim,correct
"@SpotifyCares Hey, my problem: spotify-App doesn't open any more. I use WP 8, actualized, even tried to download it new - what can I do?",app_device_bug,general_complaint_feedback,0.9173,LOW,0.6504,AUTO-HANDLE,"intent confidence 0.92 and evidence quality 0.65 both clear threshold on a low-risk intent, with 3 supporting precedent(s)",hard,0.239,False
"@115888 If I get partner Spotify through Starbucks, do I still get Hulu?",subscription_plan,general_complaint_feedback,0.9615,LOW,0.4482,ESCALATE,evidence flag: precedent_is_boilerplate_only,hard,0.2721,False
"@115888 IM From India . I cant sign Up into #Spotify 
When Will it Avail in my Country ? 😕",account_login_access,general_complaint_feedback,0.7026,LOW,0.5824,ESCALATE,evidence flag: conflicting_precedent,hard,0.318,False
"@118266 kemarin dapet sms begini, dan pembayaran melalui balance 3(udh kepotong). Tp kok statusnya masih pembayaran gagal ya? Help dong. https://t.co/KILfxU3lYb",billing_payment,general_complaint_feedback,0.9506,LOW,0.6826,AUTO-HANDLE,"intent confidence 0.95 and evidence quality 0.68 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3383,False
@115888 Would I be able to redeem this if I'm enrolled in a college but I don't start until fall 2018?,subscription_plan,general_complaint_feedback,0.9614,LOW,0.5147,ESCALATE,evidence flag: conflicting_precedent,hard,0.2683,False
@115888 What if I already have hulu,subscription_plan,general_complaint_feedback,0.9356,LOW,0.6821,ESCALATE,evidence flag: low_information_message,hard,0.5901,False
i get kicked from my spotify family members after a week please help @SpotifyCares,cancellation_request,general_complaint_feedback,0.8312,LOW,0.5395,AUTO-HANDLE,"intent confidence 0.83 and evidence quality 0.54 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.2932,False
@SpotifyCares can't login now because I set the app to offline mode before the update... Hitting connect won't do anything 😱 https://t.co/fPMcnCsMx4,account_login_access,playback_streaming_issue,0.7922,MEDIUM,0.4942,ESCALATE,evidence flag: intent_mismatch_with_precedent,medium,0.3208,False
"@SpotifyCares It's been an active request for almost 6 years and should only take a matter of days, if that, to develop and implement.",feature_how_to,general_complaint_feedback,0.9608,LOW,0.3005,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case,hard,0.1629,False
"Hey @115888, why do you keep resetting album download radio button? I keep having to redownload. iOS. Don’t make me go to Apple Music.",feature_how_to,general_complaint_feedback,0.924,LOW,0.664,AUTO-HANDLE,"intent confidence 0.92 and evidence quality 0.66 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.2877,False
"@115888 i have'nt been able to pay my subscription since like 3 months ago, the app wont recognize my credit card and i've tried with dif c",billing_payment,general_complaint_feedback,0.8899,LOW,0.2224,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case; evidence flag: precedent_is_boilerplate_only,hard,0.1926,False
"@SpotifyCares i want to cancel my premium but don't know what email i used, i know the username though, what do i do?",cancellation_request,cancellation_request,0.9109,HIGH,0.4713,ESCALATE,evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,easy,0.3233,True
@115888 So 4.99 monthly for how long if i get it,subscription_plan,general_complaint_feedback,0.5716,LOW,0.5188,ESCALATE,intent confidence 0.57 < 0.65,hard,0.2213,False
"@SpotifyCares i’m not having an issue with my spotify, i was just wondering if me being in community college, am i able to get the discount",subscription_plan,general_complaint_feedback,0.9211,LOW,0.5724,ESCALATE,evidence flag: precedent_is_boilerplate_only,medium,0.3427,False
@SpotifyCares I'm being charged for one account on two different cards. Please can you help?,billing_payment,general_complaint_feedback,0.6777,LOW,0.5525,ESCALATE,evidence flag: precedent_is_boilerplate_only,easy,0.2749,False
"Hi @SpotifyCares! My Spotify Premium transaction fee failed and now it seems I went back to Spotify Free, is that correct?",billing_payment,billing_payment,0.4522,HIGH,0.4119,ESCALATE,intent confidence 0.45 < 0.65; evidence flag: intent_mismatch_with_precedent; high-risk intent requires human sign-off,hard,0.2463,True
"@SpotifyCares it's ok, thanks for understanding friend. still love Spotify over any other music service",general_complaint_feedback,general_complaint_feedback,0.9551,LOW,0.6759,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.68 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.2948,True
"@SpotifyCares hi! How can I remove an album i ""appear on"" from my Spotify artist page?",feature_how_to,feature_how_to,0.848,LOW,0.5248,ESCALATE,evidence flag: intent_mismatch_with_precedent,easy,0.322,True
"@115888 @115940 wanting to sign up as a student for both services, but my university isn't listed as a choice",subscription_plan,general_complaint_feedback,0.785,LOW,0.2586,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case,hard,0.1823,False
"with all the member of my family
my number 1166780459@SpotifyCares",account_login_access,general_complaint_feedback,0.6562,LOW,0.4771,ESCALATE,evidence flag: precedent_is_boilerplate_only,hard,0.3055,False
"@125633 had a recurring issue with distro appearing under the wrong artist on spotify, distribution still haven’t got a solution",content_availability,general_complaint_feedback,0.9601,LOW,0.589,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.59 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3149,False
@115888 Removing songs with Chris Brown from all of my curated playlists forever would be a great place to start!!,content_availability,general_complaint_feedback,0.8054,LOW,0.5963,ESCALATE,evidence flag: conflicting_precedent,easy,0.2482,False
@SpotifyCares Im currently paying for a family subscription but now get it included in my phone package. Do I need to cancel and re-enstate?,subscription_plan,cancellation_request,0.8594,HIGH,0.5526,ESCALATE,high-risk intent requires human sign-off,easy,0.2406,False
@SpotifyCares my downloaded songs are buffering when I'm connected to wifi. What can I do?,playback_streaming_issue,general_complaint_feedback,0.8111,LOW,0.6433,AUTO-HANDLE,"intent confidence 0.81 and evidence quality 0.64 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",medium,0.3749,False
Um hey @115948 and @SpotifyCares y’all don’t have to like each other but what if you introduced a crossplatform “import playlist” button,feature_how_to,general_complaint_feedback,0.9707,LOW,0.5813,AUTO-HANDLE,"intent confidence 0.97 and evidence quality 0.58 both clear threshold on a low-risk intent, with 3 supporting precedent(s)",hard,0.2463,False
@115888 We need a feature that allows you to play songs in a backwards order so newest songs play first. 😘,feature_how_to,general_complaint_feedback,0.8884,LOW,0.6698,AUTO-HANDLE,"intent confidence 0.89 and evidence quality 0.67 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.303,False
@SpotifyCares latest TestFlight version seems to have resolved the odd behaviour I used to see but can’t really tell for sure at this point. I’ll keep in touch through DM.,feature_how_to,general_complaint_feedback,0.9231,LOW,0.4589,ESCALATE,draft failed the response critic (low_grounding:0.12); downgraded from AUTO-HANDLE,hard,0.239,False
@SpotifyCares the cover of basket case by bastille will not play or download. I am also experiencing this problem  with (1),content_availability,general_complaint_feedback,0.686,LOW,0.3441,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case,hard,0.1955,False
@115888 you guys fucking suck taking off one of my favorite albums ! I’m going stop my subscription and go to Apple Music fuck you !,cancellation_request,general_complaint_feedback,0.9585,LOW,0.68,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.68 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.326,False
@SpotifyCares Been through all the articles. Nothing helps. Can I speak with a person?,account_login_access,general_complaint_feedback,0.9673,HIGH,0.4625,ESCALATE,Hard policy block: explicit_human_request,hard,0.2109,False
@115888 I have premium fam acc. I have iphone and can cast ok to chromecast. Wife has iPhone and iPad on her account and having trouble ???,account_login_access,general_complaint_feedback,0.4409,LOW,0.4148,ESCALATE,intent confidence 0.44 < 0.65; top-2 intents are close (margin 0.15 < 0.15): 'general_complaint_feedback' vs 'subscription_plan',medium,0.2059,False
"@117153 
You guys charged me twice and my account is still free! 
Help please",billing_payment,billing_payment,0.8339,HIGH,0.4507,ESCALATE,evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,easy,0.3364,True
hey @SpotifyCares I am currently being charged 16.09 each month and my subscription says free. Who do I contact. There is no info on ur site,billing_payment,general_complaint_feedback,0.6884,LOW,0.3569,ESCALATE,evidence flag: precedent_is_boilerplate_only,hard,0.2333,False
@115888 When Your services are coming to india?,content_availability,general_complaint_feedback,0.9501,LOW,0.6835,AUTO-HANDLE,"intent confidence 0.95 and evidence quality 0.68 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.556,False
@SpotifyCares do you have plans for educators???,subscription_plan,general_complaint_feedback,0.8842,LOW,0.6323,ESCALATE,evidence flag: low_information_message,hard,0.3392,False
Why are Anita's albums not on @115888 ?,content_availability,general_complaint_feedback,0.7487,LOW,0.7719,ESCALATE,evidence flag: low_information_message,medium,0.5937,False
"@115888 Im not a student, however I have Spotify premium (9.99/month). Will I also be subject to this particular deal??",subscription_plan,subscription_plan,0.9523,MEDIUM,0.3039,ESCALATE,evidence flag: intent_mismatch_with_precedent,easy,0.2524,True
@115888 How are you gonna cancel my spotify family premium plan and now won't even let me sign back up for it?!,cancellation_request,cancellation_request,0.7258,HIGH,0.4567,ESCALATE,evidence flag: intent_mismatch_with_precedent; high-risk intent requires human sign-off,easy,0.3351,True
"@SpotifyCares May I know if the Chromecasting on Android bug has been worked on or noticed? Basically, it doesn't work whilst Google Music works perfectly.. :-(",feature_how_to,app_device_bug,0.8554,MEDIUM,0.4056,ESCALATE,evidence flag: intent_mismatch_with_precedent; evidence flag: conflicting_precedent,easy,0.2404,False
"@115888 so when are we going to be able to filter out own libraries? I want to spin my top 25 when I want to. Not when you decide to be generous enough to give me my ""top songs of 2016"" playlist. Open devolpment was way better than this bullshit. Why am I paying for this?",feature_how_to,general_complaint_feedback,0.801,LOW,0.6629,AUTO-HANDLE,"intent confidence 0.80 and evidence quality 0.66 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.2772,False
"Gee, thanks @115888 for randomly deleting my entire library. So pumped to redownload everything all over again",general_complaint_feedback,general_complaint_feedback,0.9643,LOW,0.6574,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.66 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.3686,True
@SpotifyCares I have another big problem. My account was hacked and my debit card info is on that account I really need some help right now!!!!!!,account_login_access,account_login_access,0.7525,HIGH,0.4726,ESCALATE,Hard policy block: account_takeover_or_security,easy,0.2875,True
I don't even tweet...but if @115888 isn't extortionate enough. They want to charge me twice then have me jump through hoops for a refund...jokers https://t.co/WxKej7kzGL,billing_payment,billing_payment,0.8985,HIGH,0.4371,ESCALATE,evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,easy,0.2297,True
@SpotifyCares I can't make a spotify account using my email due to the fact my current email is already linked to a account which is linked to a Facebook which i deleted a long time ago. So i can't sign in at all or get access to the account. What can i do?,account_login_access,account_login_access,0.8344,HIGH,0.4613,ESCALATE,evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,easy,0.2932,True
"@118797 @648197 @SpotifyCares @AskPlayStation @XboxSupport I suggest a “renew subscription” button that already subscribed consumers can fall back to when on a biweekly payment system, this can significantly improve the quality of life of over an estimated 65% or more of your targeted subscribers.",feature_how_to,billing_payment,0.5589,HIGH,0.3795,ESCALATE,intent confidence 0.56 < 0.65; evidence flag: intent_mismatch_with_precedent; high-risk intent requires human sign-off,hard,0.2348,False
Why aren't the Nicole Wray songs I want to listen to on @115888?,content_availability,general_complaint_feedback,0.9588,LOW,0.7305,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.73 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.5414,False
Will you update your app for iPhone x anytime soon? @115888,feature_how_to,general_complaint_feedback,0.6338,LOW,0.6827,ESCALATE,intent confidence 0.63 < 0.65,hard,0.5979,False
"Seriously? I guess @115888 arbitrarily limits libraries to 10k songs, even for paying subscribers. https://t.co/EM53rkF1M3",content_availability,general_complaint_feedback,0.9299,LOW,0.265,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case,easy,0.1946,False
@SpotifyCares Make sure to get iPhone X support please!!♡,feature_how_to,general_complaint_feedback,0.8969,LOW,0.7079,AUTO-HANDLE,"intent confidence 0.90 and evidence quality 0.71 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",medium,0.3947,False
.@115888 you send me an email about premium yearly and the deny me from signing up. WTF....,account_login_access,general_complaint_feedback,0.771,LOW,0.4569,ESCALATE,evidence flag: precedent_is_boilerplate_only,hard,0.2623,False
"@SpotifyCares No, It seems to be working fine today , it must have been a glitch in the IOS or something ! Thanks for the reply :)",feature_how_to,general_complaint_feedback,0.6994,LOW,0.6556,AUTO-HANDLE,"intent confidence 0.70 and evidence quality 0.66 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.3887,False
@SpotifyCares Haaaaaaaalp,general_complaint_feedback,general_complaint_feedback,0.9752,LOW,0.9082,ESCALATE,evidence flag: conflicting_precedent; evidence flag: low_information_message,hard,1.0,True
@115888 noticed you guys removed the blue stones. Any chance of adding that back anytime soon,content_availability,general_complaint_feedback,0.7511,LOW,0.7205,AUTO-HANDLE,"intent confidence 0.75 and evidence quality 0.72 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3986,False
@SpotifyCares i cant sign up for student discount after i canceled my premium account.,account_login_access,subscription_plan,0.9208,MEDIUM,0.4614,ESCALATE,evidence flag: intent_mismatch_with_precedent,easy,0.3261,False
Can y’all help? @SpotifyCares https://t.co/vH04hXFIRk,general_complaint_feedback,general_complaint_feedback,0.9693,LOW,0.6569,AUTO-HANDLE,"intent confidence 0.97 and evidence quality 0.66 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.371,True
"@115888 @SpotifyCares 
Sorry if this question is a bit early, but I was wondering if you where planning on bringing back ""My Year In Muisc"" for the end of 2017. I know for 2016 you did replaced it with ""Wrapped"" but many Spotify fans seemed to prefer ""My Year"".",feature_how_to,general_complaint_feedback,0.7844,LOW,0.319,ESCALATE,evidence flag: weak_similarity; evidence flag: no_supporting_case,hard,0.1978,False
@SpotifyCares I can't log in to Spotify on my ps4 because I need to unlink from a ps3. I don't know which PlayStation account I was logged into Spotify on so I can't log out. Is there another way around this,account_login_access,account_login_access,0.5923,HIGH,0.435,ESCALATE,intent confidence 0.59 < 0.65; evidence flag: intent_mismatch_with_precedent; high-risk intent requires human sign-off,medium,0.2696,True
"@SpotifyCares 
AllFilledUp.  Prem acct. Have many playlists. Can't set playback.  Help",playback_streaming_issue,general_complaint_feedback,0.8891,LOW,0.4288,ESCALATE,evidence flag: intent_mismatch_with_precedent,hard,0.2353,False
"@SpotifyCares I want to cancel whatever I am paying 9.99 a month for. I have no account apparently, so I can't cancel it! Free thru Toyota for a month maybe? Stop billing me.",cancellation_request,cancellation_request,0.6463,HIGH,0.3904,ESCALATE,intent confidence 0.65 < 0.65; evidence flag: intent_mismatch_with_precedent; high-risk intent requires human sign-off,easy,0.2638,True
@SpotifyCares @136221 (with an android phone),playback_streaming_issue,general_complaint_feedback,0.8401,LOW,0.6759,ESCALATE,evidence flag: low_information_message,hard,0.4478,False
"@SpotifyCares Hi, on the app it says I have PREMIUM TRIAL but on the website it’s says it’ll be renewed next month, but I know for sure that I got the premium trial a couple of weeks back. I want to cancel it before I get billed for the month at £9.99. I just want the trial only.",cancellation_request,subscription_plan,0.9201,MEDIUM,0.2095,ESCALATE,evidence flag: intent_mismatch_with_precedent; evidence flag: precedent_is_boilerplate_only,medium,0.2125,False
Good job @SpotifyCares only took you an hour longer than your competitor LMAO fucking shitty service lost a subscriber,general_complaint_feedback,general_complaint_feedback,0.9563,LOW,0.6897,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.69 both clear threshold on a low-risk intent, with 3 supporting precedent(s)",hard,0.3606,True
"@117153 i’ve subscribe, but my account still not active. Why is this happen??",account_login_access,general_complaint_feedback,0.8645,LOW,0.5249,ESCALATE,evidence flag: precedent_is_boilerplate_only,easy,0.3142,False
"@SpotifyCares Someone has hacked my spotify account.
 My id: __email__

I have been charged today via Paypal but I cannot Access my account for it says that there is no such email in the database. I also have received and email saying that my email Access has been changed",account_login_access,account_login_access,0.9528,HIGH,0.5504,ESCALATE,Hard policy block: account_takeover_or_security,easy,0.3201,True
How can I operate @115888 here in Saudi Arabia? I tried vpn didn’t work.,content_availability,feature_how_to,0.5059,LOW,0.5966,ESCALATE,intent confidence 0.51 < 0.65; top-2 intents are close (margin 0.03 < 0.15): 'feature_how_to' vs 'general_complaint_feedback'; evidence flag: intent_mismatch_with_precedent,easy,0.5794,False
@SpotifyCares Windows 10 on desktop,playback_streaming_issue,general_complaint_feedback,0.7467,LOW,0.8115,ESCALATE,evidence flag: low_information_message,hard,0.6946,False
@115888 your Roku app isn't showing playlists. Is that by design or am I missing something?,feature_how_to,general_complaint_feedback,0.7305,LOW,0.6632,AUTO-HANDLE,"intent confidence 0.73 and evidence quality 0.66 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.2851,False
@SpotifyCares Spotify hit me with 6 charges back to back this month... Can I talk to a human? Of course not that's absurd . How about we fix this,billing_payment,billing_payment,0.6381,HIGH,0.4182,ESCALATE,Hard policy block: explicit_human_request,hard,0.2529,True
why arent twice’s korean versions of songs available in spotify au/nz 😠 @116380,content_availability,general_complaint_feedback,0.639,LOW,0.6383,ESCALATE,intent confidence 0.64 < 0.65,easy,0.347,False
@117153 Hey my spotify keeps pausing / skipping to next song.  Any idea whats going on?,playback_streaming_issue,playback_streaming_issue,0.9402,MEDIUM,0.5825,AUTO-HANDLE,"intent confidence 0.94 and evidence quality 0.58 both clear threshold on a medium-risk intent, with 4 supporting precedent(s)",easy,0.3108,True
@115888 please update your app to utilize the new screen dimensions on the iPhone X!,app_device_bug,general_complaint_feedback,0.7598,LOW,0.7008,AUTO-HANDLE,"intent confidence 0.76 and evidence quality 0.70 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.4829,False
"@SpotifyCares Additionally, it could provide metric on discover weekly 'success' via song retention. e.g. how many of the 30 songs are users 'keeping' per month? Will vote, ty.",feature_how_to,general_complaint_feedback,0.7716,LOW,0.3585,ESCALATE,evidence flag: intent_mismatch_with_precedent,medium,0.2258,False
@116380 HI! I can’t listen to this yet. Can you please fix ASAP. From one crazy Björk fan. Xx 🏳️‍🌈 #BlissingMe https://t.co/JXkfNN1o9p,playback_streaming_issue,general_complaint_feedback,0.8358,LOW,0.5505,ESCALATE,evidence flag: conflicting_precedent,easy,0.229,False
@115888 can i have this for next month? bcs im already in premium,subscription_plan,general_complaint_feedback,0.4975,LOW,0.312,ESCALATE,intent confidence 0.50 < 0.65; top-2 intents are close (margin 0.00 < 0.15): 'general_complaint_feedback' vs 'subscription_plan'; evidence flag: weak_similarity; evidence flag: no_supporting_case,hard,0.1845,False
@SpotifyCares Just trying to download the current version from the Spotify site. I have Windows 8.1.,app_device_bug,general_complaint_feedback,0.7771,LOW,0.4612,ESCALATE,evidence flag: intent_mismatch_with_precedent,hard,0.2453,False
@115888 how do I make the little bloop noise go away so when I’m changing the bangerz I don’t almost burst my ear drums,feature_how_to,feature_how_to,0.6269,LOW,0.5202,ESCALATE,intent confidence 0.63 < 0.65,easy,0.2705,True
"@SpotifyCares 

Picture and artists don't match up with title https://t.co/dPTPhxvO5H",content_availability,general_complaint_feedback,0.9751,LOW,0.6539,AUTO-HANDLE,"intent confidence 0.98 and evidence quality 0.65 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3734,False
"@714198 I know, same!! I have to change my location but for that, I have to pay first, and there is no f**ing way I'm giving them my money, so I'll switch to apple music, I'd rather give my money to them than to those cunts from @115888",cancellation_request,general_complaint_feedback,0.6173,LOW,0.3156,ESCALATE,intent confidence 0.62 < 0.65; evidence flag: intent_mismatch_with_precedent,hard,0.222,False
Someone hacked my @115888 and now I have hella turkish playlists 😂,account_login_access,account_login_access,0.812,HIGH,0.6008,ESCALATE,Hard policy block: account_takeover_or_security,easy,0.3056,True
@115888 fix this this dude is not d12 😂😂😂 im pretty sure d12 is a rap group not no jamacan soundin shit https://t.co/KPAeF5ts87,content_availability,general_complaint_feedback,0.8084,LOW,0.6776,AUTO-HANDLE,"intent confidence 0.81 and evidence quality 0.68 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.4195,False
Hey @115888 @SpotifyCares Are you going to update your website or app so I can update my payment options?! The websites keeps crashing every time I click on the LOG IN button. Even clicked on the SPOTIFY PREMIUM FREE TRIAL option and it crashed. Please fix this soon!,billing_payment,app_device_bug,0.7579,MEDIUM,0.5467,AUTO-HANDLE,"intent confidence 0.76 and evidence quality 0.55 both clear threshold on a medium-risk intent, with 4 supporting precedent(s)",easy,0.2441,False
@115888 can y’all please add RaRa by Travis Scott ft. Lil Uzi bc it’s only on SoundCloud,content_availability,general_complaint_feedback,0.785,LOW,0.631,AUTO-HANDLE,"intent confidence 0.79 and evidence quality 0.63 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",medium,0.3095,False
"Ayo @115888 . Why isn't Agust D's mixtape available? I mean it's there but I can't listen to it. 
???????",content_availability,general_complaint_feedback,0.758,LOW,0.6083,AUTO-HANDLE,"intent confidence 0.76 and evidence quality 0.61 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",easy,0.2636,False
@SpotifyCares will high school students ever be included on the student discount pls and thx,subscription_plan,subscription_plan,0.5745,MEDIUM,0.5916,ESCALATE,intent confidence 0.57 < 0.65,easy,0.3316,True
wHERE IS REPUTATION ON SPOTIFY I SWEAR IF TAYLOR MAKES ME BUY THAT ALBUM,general_complaint_feedback,general_complaint_feedback,0.6462,LOW,0.697,ESCALATE,intent confidence 0.65 < 0.65,easy,0.4092,True
"@SpotifyCares hi, I had trouble logging into my account and when I got in with facebook it has a random email listed instead of mine (__email__?!). I can't change it because it won't accept any of my passwords and I can't do a reset as this is the wrong email.",account_login_access,account_login_access,0.8871,HIGH,0.3648,ESCALATE,evidence flag: intent_mismatch_with_precedent; evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,hard,0.2914,True
Where is red velvet's peekaboo album @115888 ???,content_availability,general_complaint_feedback,0.7037,LOW,0.7437,AUTO-HANDLE,"intent confidence 0.70 and evidence quality 0.74 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",medium,0.6128,False
@SpotifyCares my account was charged for premium but I still have ads... I need a refund or premium please respond,billing_payment,billing_payment,0.8828,HIGH,0.4565,ESCALATE,evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,easy,0.3566,True
@115888 needs to get rid of their library cap 😤,subscription_plan,general_complaint_feedback,0.9596,LOW,0.7291,AUTO-HANDLE,"intent confidence 0.96 and evidence quality 0.73 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.5708,False
@SpotifyCares Chrome web player on dell laptop,app_device_bug,general_complaint_feedback,0.9151,LOW,0.7331,AUTO-HANDLE,"intent confidence 0.92 and evidence quality 0.73 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.4885,False
Need help finding out why I am being charged $9.99/Mo when my account states my subscription is free @SpotifyCares,billing_payment,billing_payment,0.3427,HIGH,0.4372,ESCALATE,intent confidence 0.34 < 0.65; top-2 intents are close (margin 0.03 < 0.15): 'billing_payment' vs 'subscription_plan'; evidence flag: intent_mismatch_with_precedent; evidence flag: precedent_is_boilerplate_only; high-risk intent requires human sign-off,medium,0.3222,True
@116130 hey do youse know when the perfect velvet album will be on spotify? thank youuu,feature_how_to,general_complaint_feedback,0.6517,LOW,0.6792,AUTO-HANDLE,"intent confidence 0.65 and evidence quality 0.68 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.4174,False
@SpotifyCares it’s an album by lil peep,content_availability,general_complaint_feedback,0.953,LOW,0.6826,AUTO-HANDLE,"intent confidence 0.95 and evidence quality 0.68 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.4851,False
@SpotifyCares I can’t open my app since most recent update (which was today). It keeps closing out. @115888,app_device_bug,general_complaint_feedback,0.8001,LOW,0.4198,ESCALATE,evidence flag: intent_mismatch_with_precedent; evidence flag: conflicting_precedent,hard,0.2272,False
"@SpotifyCares Thank you for replying so quickly! Have now successfully invited. Ended up using my phone to do it, still not working on the laptop web version though so not sure what’s wrong there",playback_streaming_issue,general_complaint_feedback,0.7412,LOW,0.6395,AUTO-HANDLE,"intent confidence 0.74 and evidence quality 0.64 both clear threshold on a low-risk intent, with 4 supporting precedent(s)",hard,0.3219,False
